Број,Општина,Населено место,Градба/место,Фотографија,Unnamed: 5
1,Берово (4),Берово,Куќа на ул. „Кочо Рацин“ бр. 9,,
2,Берово (4),Берово,Куќа на ул. „Кочо Рацин“ бр. 11,,
3,Берово (4),Берово,Манастир „Свети Архангел Михаил“,,
3,Берово (4),Берово,Куќа на ул. „Маршал Тито“ бр. 127,,
4,Битола (162),Битола,Стара битолска бања,,
5,Битола (162),Битола,Јени амам,,
6,Битола (162),Битола,Хераклеја Линкестис,,
7,Битола (162),Битола,Археолошко наоѓалиште „Хераклеја Линкестис“ – Вила Субурбана II – мозаик,,
8,Битола (162),Битола,Битолски безистен,,
9,Битола (162),Битола,Зандан куле,,
10,Битола (162),Битола,Библиотека „Климент Охридски“,,
11,Битола (162),Битола,СОУ „Јосип Броз-Тито“,,
12,Битола (162),Битола,Објект на Собранието на општина Битола на улица „Славко Лумбарко“ бр. 8,,
13,Битола (162),Битола,Објект на Собранието на општина Битола на улица „Кирил и Методиј“ бр. 6,,
14,Битола (162),Битола,Поранешен објект на Народниот музеј,,
15,Битола (162),Битола,Објект на Заводот за урбанизам,,
16,Битола (162),Битола,Куќа на бул. „Први мај“ бр. 21,,
17,Битола (162),Битола,Куќа на ул. „Христо Ботев“ бр. 7,,
18,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 37 и ул. „Пеце Матичевски“ бр. 31,,
19,Битола (162),Битола,Куќа на ул. „Пеце Матичевски“ бр. 32,,
20,Битола (162),Битола,Куќа на ул. „Пеце Матичевски“ бр. 38,,
21,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 108,,
22,Битола (162),Битола,Куќа на ул. „Стив Наумов“ бр. 80,,
23,Битола (162),Битола,Куќа на ул. „Томаки Димитровски“ бр. 24,,
24,Битола (162),Битола,Куќа на ул. „Широк сокак“ бр. 85,,
25,Битола (162),Битола,Куќа на ул. „Димитар Илиевски – Мурато“ бр. 1,,
26,Битола (162),Битола,Куќа на ул. „Пеце Матичевски“ бр. 57,,
27,Битола (162),Битола,Куќа на ул. „Пеце Матичевски“ бр. 53,,
28,Битола (162),Битола,Куќа на ул. „Пеце Матичевски“ бр. 22,,
29,Битола (162),Битола,Куќа на ул. „Пеце Матичевски“ бр. 19,,
30,Битола (162),Битола,Куќа на ул. „Пеце Матичевски“ бр. 17,,
31,Битола (162),Битола,Куќа на ул. „Пеце Матичевски“ бр. 44,,
32,Битола (162),Битола,Куќа на ул. „Пеце Матичевски“ бр. 42,,
33,Битола (162),Битола,Куќа на ул. „Кирил и Методиј“ бр. 22,,
34,Битола (162),Битола,Куќа на ул. „Кирил и Методиј“ бр. 33,,
35,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 22,,
36,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 35,,
37,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 102,,
38,Битола (162),Битола,Куќа на ул. „Христо Ботев“ бр. 30,,
39,Битола (162),Битола,Куќа на ул. „Стево Патако“ бр. 51,,
40,Битола (162),Битола,Куќа на ул. „Стево Патако“ бр. 35,,
41,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 94,,
42,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 96,,
43,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 98,,
44,Битола (162),Битола,Куќа на ул. „Климент Охридски“ бр. 100,,
45,Битола (162),Битола,Куќа на ул. „Рузвелт“ бр. 16,,
