Општина,Населено место,Градба/место
Берово,Берово,Куќа на ул. „Кочо Рацин“ бр. 9
Берово,Берово,Куќа на ул. „Кочо Рацин“ бр. 11
Берово,Берово,Манастир „Свети Архангел Михаил“
Берово,Берово,Куќа на ул. „Маршал Тито“ бр. 127
Битола,Битола,Стара битолска бања
Битола,Битола,Јени амам
Битола,Битола,Хераклеја Линкестис
Битола,Битола,Археолошко наоѓалиште „Хераклеја Линкестис“ – Вила Субурбана II – мозаик
Битола,Битола,Битолски безистен
Битола,Битола,Зандан куле
Битола,Битола,Библиотека „Климент Охридски“
Битола,Битола,СОУ „Јосип Броз-Тито“
Битола,Битола,Објект на Собранието на општина Битола на улица „Славко Лумбарко“ бр. 8
Битола,Битола,Објект на Собранието на општина Битола на улица „Кирил и Методиј“ бр. 6
Битола,Битола,Поранешен објект на Народниот музеј
Битола,Битола,Објект на Заводот за урбанизам
Битола,Битола,Куќа на бул. „Први мај“ бр. 21
Битола,Битола,Куќа на ул. „Христо Ботев“ бр. 7
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 37 и ул. „Пеце Матичевски“ бр. 31
Битола,Битола,Куќа на ул. „Пеце Матичевски“ бр. 32
Битола,Битола,Куќа на ул. „Пеце Матичевски“ бр. 38
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 108
Битола,Битола,Куќа на ул. „Стив Наумов“ бр. 80
Битола,Битола,Куќа на ул. „Томаки Димитровски“ бр. 24
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 85
Битола,Битола,Куќа на ул. „Димитар Илиевски – Мурато“ бр. 1
Битола,Битола,Куќа на ул. „Пеце Матичевски“ бр. 57
Битола,Битола,Куќа на ул. „Пеце Матичевски“ бр. 53
Битола,Битола,Куќа на ул. „Пеце Матичевски“ бр. 22
Битола,Битола,Куќа на ул. „Пеце Матичевски“ бр. 19
Битола,Битола,Куќа на ул. „Пеце Матичевски“ бр. 17
Битола,Битола,Куќа на ул. „Пеце Матичевски“ бр. 44
Битола,Битола,Куќа на ул. „Пеце Матичевски“ бр. 42
Битола,Битола,Куќа на ул. „Кирил и Методиј“ бр. 22
Битола,Битола,Куќа на ул. „Кирил и Методиј“ бр. 33
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 22
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 35
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 102
Битола,Битола,Куќа на ул. „Христо Ботев“ бр. 30
Битола,Битола,Куќа на ул. „Стево Патако“ бр. 51
Битола,Битола,Куќа на ул. „Стево Патако“ бр. 35
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 94
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 96
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 98
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 100
Битола,Битола,Куќа на ул. „Рузвелт“ бр. 16
Битола,Битола,Куќа на ул. „Елпида Караманди“ бр. 4
Битола,Битола,Куќа на бул. „Први мај“ бр. 64
Битола,Битола,Куќа на ул. „Борка Левата“ бр. 6
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 78
Битола,Битола,Куќа на ул. „11 октомври“ бр.
Битола,Битола,Куќа на ул. „Стево Патако“ бр. 8
Битола,Битола,Куќа на ул. „Караорман“ бр. 9
Битола,Битола,Куќа на ул. „Климент Охридски“ бр. 5
Битола,Битола,Куќа на ул. „Страшо Пинџур“ бр. 3
Битола,Битола,Куќа на ул. „Охридска“ бр. 100
Битола,Битола,Офицерски дом
Битола,Битола,Објект на Стопанска банка
Битола,Битола,Објект на ОК на СКМ
Битола,Битола,"Објект на поранешната касарна „Стив Наумов“, ул. „Партизанска“ и ул. „Климент Охридски“"
Битола,Битола,Објект на Митрополијата
Битола,Битола,Објект на старата Општина
Битола,Битола,Куќа на ул. Пецо Божиновски” бр. 11 – Меморијален музеј „Стив Наумов“
Битола,Битола,Спомен-музеј на Гоце Делче
Битола,Битола,Основно училиште „Кирил и Методиј“
Битола,Битола,Спомен-чешма во дворот на поранешната богословија
Битола,Битола,Саат-кула
Битола,Битола,Старо градско јадро
Битола,Битола,Адвентистичка црква
Битола,Битола,Црква „Св. Димитриј“
Битола,Битола,Црква „Св. Богородица“
Битола,Битола,Битолска чаршија
Битола,Битола,Коџа-кади џамија
Битола,Битола,Хамза-бегова џамија
Битола,Битола,Ајдар-кади џамија
Битола,Битола,Јени џамија
Битола,Битола,Исак џамија
Битола,Битола,Дебој амам
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 102 со спомен плоча за Милтон Манаки
Битола,Битола,Куќа на ул. „Далматинска“ бр. 18
Битола,Битола,Куќа на ул. „Славко Лумбарко“ бр. 6
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 26
Битола,Битола,Куќа на ул. „Браќа Мингови“ бр. 5
Битола,Битола,Куќа на ул. „Кирил и Методи“ бр. 14
Битола,Битола,Куќа на ул. „Титов Велес“ бр. 3 и 5
Битола,Битола,Куќа на бул. „Први Мај“ бр. 179 и ул. „Браќа Мингови“
Битола,Битола,Куќа на бул. „Први Мај“ бр. 110
Битола,Битола,Куќа на бул. „Први Мај“ бр. 112
Битола,Битола,Куќа на ул. „Београдска“ бр. 8
Битола,Битола,Куќа на ул. „Трст“ бр. 3
Битола,Битола,Куќа на ул. „Никола Тесла“ бр. 86
Битола,Битола,Куќа на ул. „Београдска“ бр.21
Битола,Битола,Археолошко наоѓалиште „Гургур Тумба“
Битола,Битола,Куќа на ул. „Добривое Радосављевиќ“ бр. 3
Битола,Битола,Куќа на ул. „Добривое Радосављевиќ“ бр. 2
Битола,Битола,Куќа на ул. „Никола Тесла“ бр. 103
Битола,Битола,Амбиентална улица „Широк сокак“
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 58
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 56
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 54
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 42
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 42-а
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 44-а
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 52
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 48
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 32
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 34
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 37
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 46
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 65
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 28
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 30
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 42-б
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 41
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 49
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 77
Битола,Битола,Куќа на ул. „Стерјо Георгиев“ бр. 40
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 43
Битола,Битола,Куќа на бул. „Први Мај“ бр. 126 и 126-а
Битола,Битола,Куќа на ул. „Солунска“ бр. 268
Битола,Битола,Куќа на бул. „Први Мај“ бр. 53
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 111
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 82
Битола,Битола,Магаза на ул. „27 март“ бр. 3 и ул. „Добривое Радосављевиќ“ бр. 4
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 99
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 97
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 84-а
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 88
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 103
Битола,Битола,Куќа на ул. „Широк сокак“ бр. 105
